[KONDISI] | [RISIKO] | [PENJELASAN] | [SOLUSI]
Tidak ada pelatihan keselamatan | TINGGI | Pekerja tidak memahami risiko | Lakukan pelatihan K3 secara berkala.
Pekerja menggunakan alat tanpa izin | SEDANG | Risiko penggunaan tidak sesuai | Batasi akses alat dan gunakan sistem izin.
Tidak tersedia alat pemadam api | TINGGI | Kebakaran tidak terkendali | Sediakan APAR sesuai jenis risiko (ABC, CO2, dll).
Area kerja terlalu padat | SEDANG | Risiko tabrakan | Atur ulang layout kerja dan jalur pergerakan.
Pekerja sakit tetap bekerja | SEDANG | Penurunan performa | Lakukan pemeriksaan kesehatan sebelum kerja.
Tidak ada inspeksi rutin | SEDANG | Bahaya tidak terdeteksi | Jadwalkan inspeksi K3 secara berkala.
APD dalam kondisi rusak | TINGGI | Perlindungan tidak optimal | Ganti APD yang rusak sebelum digunakan.
Tidak menjaga jarak aman | SEDANG | Risiko tabrakan | Terapkan zona aman kerja minimal 2 meter.
Area kerja bising tanpa pelindung telinga | SEDANG | Gangguan pendengaran | Gunakan earplug atau earmuff.
Kurang pengawasan kerja malam | SEDANG | Risiko meningkat | Tambahkan supervisor dan pencahayaan.
Bahan mudah terbakar disimpan sembarangan | TINGGI | Risiko kebakaran | Simpan di area khusus dengan ventilasi dan label.
Tidak ada prosedur darurat | TINGGI | Penanganan tidak efektif | Buat dan sosialisasikan prosedur tanggap darurat.
Tidak ada latihan evakuasi | SEDANG | Evakuasi tidak efektif | Lakukan simulasi evakuasi minimal 1–2 kali per tahun dan pastikan semua pekerja memahami jalur evakuasi.
Suhu terlalu dingin | RENDAH | Risiko ringan terhadap kesehatan | Sediakan pakaian pelindung dan batasi durasi kerja di lingkungan dingin.
Tidak ada dokumentasi K3 | SEDANG | Evaluasi sulit dilakukan | Buat dan simpan dokumentasi K3 secara terstruktur untuk keperluan audit dan evaluasi.
Tidak memakai sarung tangan | SEDANG | Risiko luka tangan | Gunakan sarung tangan sesuai jenis pekerjaan dan lakukan pengecekan sebelum kerja.
Tidak ada SOP | TINGGI | Risiko sistemik | Susun SOP kerja yang jelas dan wajibkan seluruh pekerja mematuhinya.
Tidak mematuhi aturan | SEDANG | Risiko meningkat | Terapkan pengawasan dan sanksi terhadap pelanggaran aturan keselamatan.
Alat tidak tersimpan baik | SEDANG | Risiko kecelakaan | Simpan alat pada tempat khusus dan terorganisir setelah digunakan.
Tidak ada pengawasan alat berat | TINGGI | Risiko kecelakaan tinggi | Tunjuk supervisor khusus untuk mengawasi operasional alat berat.
Tidak memakai pelindung mata | SEDANG | Risiko cedera mata | Gunakan safety goggles atau face shield saat bekerja.
Tidak ada kontrol kualitas | SEDANG | Risiko kesalahan | Terapkan sistem kontrol kualitas dan inspeksi berkala.
Lingkungan kotor | SEDANG | Risiko kesehatan | Terapkan program kebersihan kerja (housekeeping).
Tidak melaporkan bahaya | SEDANG | Risiko tidak terdeteksi | Terapkan sistem pelaporan bahaya dan dorong budaya safety reporting.
Tidak ada SOP tertulis | TINGGI | Risiko tinggi | Dokumentasikan SOP secara tertulis dan sosialisasikan ke seluruh pekerja.
Tidak memakai helm saat hujan | TINGGI | Risiko cedera meningkat | Wajibkan penggunaan helm dalam segala kondisi cuaca.
Area tergenang air | SEDANG | Risiko terpeleset | Keringkan area kerja dan pasang sistem drainase yang baik.
Tidak ada jalur aman | TINGGI | Risiko tinggi | Sediakan jalur khusus pekerja yang aman dan bebas hambatan.
Tidak memakai rompi reflektif | RENDAH | Risiko visibilitas rendah | Gunakan rompi reflektif terutama di area lalu lintas alat berat.
Tidak ada pelatihan rutin | SEDANG | Pengetahuan tidak berkembang | Lakukan pelatihan keselamatan secara berkala.
Tidak memakai sepatu safety | TINGGI | Risiko cedera kaki | Wajibkan penggunaan sepatu safety di area kerja.
Lingkungan tidak stabil | SEDANG | Risiko jatuh | Evaluasi kondisi lingkungan sebelum kerja dimulai.
Tidak ada evaluasi risiko | TINGGI | Bahaya tidak dikontrol | Lakukan risk assessment secara berkala.
Tidak memakai masker | SEDANG | Risiko kesehatan | Gunakan masker sesuai jenis paparan (debu/gas).
Tidak inspeksi alat | SEDANG | Risiko kerusakan | Lakukan inspeksi sebelum penggunaan alat.
Tidak memakai sabuk pengaman | TINGGI | Risiko jatuh | Gunakan safety harness saat bekerja di ketinggian.
Area sempit | SEDANG | Risiko tabrakan | Atur jalur kerja dan batasi jumlah pekerja.
Tidak ada standar keselamatan | TINGGI | Risiko sistemik tinggi | Terapkan standar K3 nasional/internasional.
Operator alat berat tidak melakukan pemeriksaan sebelum penggunaan | TINGGI | Potensi kerusakan alat tidak terdeteksi | Lakukan pre-operational check setiap sebelum penggunaan alat.
Operator mengoperasikan alat berat tanpa izin resmi | TINGGI | Risiko kesalahan operasional meningkat | Pastikan hanya operator bersertifikat yang bekerja.
Alat berat beroperasi di area sempit tanpa pengaturan | SEDANG | Risiko tabrakan meningkat | Atur jalur operasional alat dan gunakan spotter.
Pekerja berada di dekat alat berat tanpa jarak aman | TINGGI | Risiko tertabrak atau terjepit | Terapkan zona aman minimal dan pembatas area.
Penggunaan alat berat saat visibilitas rendah | SEDANG | Operator sulit melihat | Tambahkan lampu dan batasi operasi saat kondisi ekstrem.
Tidak ada sistem lockout tagout saat perbaikan mesin | TINGGI | Mesin dapat aktif tiba-tiba | Terapkan prosedur LOTO sebelum perbaikan.
Peralatan listrik digunakan dalam kondisi basah | TINGGI | Risiko sengatan listrik | Hindari penggunaan listrik di area basah dan gunakan pelindung isolasi.
Kabel listrik melintang di jalur kerja | SEDANG | Risiko tersandung | Amankan kabel menggunakan pelindung atau jalur khusus.
Penggunaan stop kontak berlebih | SEDANG | Risiko panas berlebih | Gunakan distribusi listrik sesuai kapasitas.
Panel listrik tidak tertutup | TINGGI | Risiko kontak langsung listrik | Tutup panel dan beri pengaman.
Pekerja memperbaiki listrik tanpa mematikan sumber daya | TINGGI | Risiko tersengat listrik | Matikan sumber listrik sebelum perbaikan.
Penggunaan alat listrik tanpa grounding | TINGGI | Risiko sengatan listrik | Pastikan sistem grounding terpasang.
Pekerja tidak menggunakan sarung tangan isolasi listrik | TINGGI | Risiko cedera listrik | Gunakan sarung tangan khusus listrik.
Kabel terkelupas digunakan | TINGGI | Risiko korsleting | Ganti kabel yang rusak segera.
Penggunaan generator tanpa ventilasi | TINGGI | Risiko keracunan CO | Gunakan generator di area terbuka.
Penyimpanan bahan kimia tanpa label | SEDANG | Risiko salah penggunaan | Beri label sesuai standar MSDS.
Pekerja menangani bahan kimia tanpa APD | TINGGI | Risiko iritasi/keracunan | Gunakan APD lengkap sesuai bahan.
Tumpahan bahan kimia tidak dibersihkan | SEDANG | Risiko terpeleset/paparan | Bersihkan segera dengan prosedur yang benar.
Penyimpanan bahan mudah terbakar dekat sumber panas | TINGGI | Risiko kebakaran | Simpan bahan di area khusus tahan api.
Pekerja tidak memahami MSDS bahan kimia | SEDANG | Penanganan tidak sesuai | Lakukan pelatihan MSDS.
Pekerja bekerja di ruang terbatas tanpa izin | TINGGI | Risiko kekurangan oksigen | Gunakan permit confined space.
Tidak ada pengukuran gas di confined space | TINGGI | Risiko keracunan | Lakukan gas test sebelum masuk.
Ventilasi ruang tertutup tidak memadai | TINGGI | Risiko sesak napas | Gunakan ventilasi tambahan.
Tidak ada pengawas di pekerjaan confined space | TINGGI | Risiko tidak tertangani | Sediakan standby man di luar area.
Pekerja melakukan pengelasan tanpa pelindung | TINGGI | Risiko luka bakar | Gunakan APD welding lengkap.
Percikan api dari pengelasan tidak dikendalikan | TINGGI | Risiko kebakaran | Gunakan fire blanket dan fire watch.
Tabung gas tidak disimpan dengan benar | TINGGI | Risiko ledakan | Simpan tabung dalam posisi tegak dan aman.
Pekerja menggunakan alat panas tanpa izin kerja | TINGGI | Risiko kebakaran | Gunakan hot work permit sebelum pekerjaan.
Tidak ada fire watch saat hot work | TINGGI | Potensi kebakaran tidak terpantau | Tunjuk fire watch selama pekerjaan berlangsung dan minimal 30 menit setelah selesai, serta siapkan APAR dan fire blanket.
Pekerja tidak menggunakan masker saat mengelas | SEDANG | Risiko gangguan pernapasan | Gunakan masker respirator khusus welding (filter asap logam) dan pastikan ventilasi cukup.
Mengangkat beban berat tanpa alat bantu | SEDANG | Risiko cedera punggung | Gunakan alat bantu seperti trolley atau forklift dan terapkan teknik angkat yang benar.
Postur kerja tidak ergonomis | SEDANG | Risiko gangguan muskuloskeletal | Sesuaikan posisi kerja dengan prinsip ergonomi dan gunakan alat bantu penyesuaian posisi.
Pekerja membungkuk terlalu lama | SEDANG | Risiko nyeri punggung kronis | Batasi durasi kerja membungkuk dan lakukan peregangan secara berkala.
Pekerja mengangkat beban dengan posisi salah | SEDANG | Risiko cedera tulang belakang | Latih teknik manual handling yang benar (angkat dengan kaki, bukan punggung).
Pengulangan gerakan kerja berlebihan | SEDANG | Risiko cedera otot | Terapkan rotasi kerja dan waktu istirahat terjadwal.
Pekerja duduk terlalu lama tanpa jeda | RENDAH | Risiko gangguan kesehatan ringan | Terapkan micro break setiap 1–2 jam untuk peregangan.
Peralatan kerja tidak sesuai ukuran tubuh | SEDANG | Risiko ketidaknyamanan dan cedera | Gunakan peralatan yang ergonomis dan dapat disesuaikan.
Pekerja tidak melakukan pemanasan sebelum kerja fisik | RENDAH | Risiko cedera otot ringan | Lakukan stretching sebelum memulai pekerjaan fisik.
Beban kerja terlalu berat | SEDANG | Risiko kelelahan fisik | Sesuaikan beban kerja dengan kapasitas pekerja dan lakukan pembagian tugas.
Pekerja bekerja tanpa rotasi tugas | SEDANG | Risiko kejenuhan dan cedera | Terapkan sistem rotasi kerja untuk mengurangi beban berulang.
Alat berat beroperasi di tanah tidak stabil | TINGGI | Risiko terguling | Pastikan kondisi tanah stabil atau gunakan mat/pelat penyangga sebelum operasi.
Pekerja berdiri di bawah beban yang diangkat | TINGGI | Risiko tertimpa beban | Larang area di bawah beban dan pasang barricade zona bahaya.
Penggunaan crane tanpa inspeksi | TINGGI | Risiko kegagalan alat angkat | Lakukan inspeksi crane sebelum digunakan dan checklist harian.
Sling tidak sesuai kapasitas | TINGGI | Risiko putus saat mengangkat beban | Gunakan sling sesuai SWL (Safe Working Load) dan beri label kapasitas.
Beban diangkat tidak seimbang | TINGGI | Risiko jatuh atau terguling | Pastikan distribusi beban seimbang sebelum pengangkatan.
Operator crane tidak memiliki sertifikasi | TINGGI | Risiko kesalahan operasional | Hanya operator bersertifikat yang diizinkan mengoperasikan crane.
Tidak ada sinyal komunikasi saat lifting | SEDANG | Risiko miskomunikasi | Gunakan signalman/rigger dan standar isyarat komunikasi.
Pekerja tidak menjaga jarak dari beban | TINGGI | Risiko tertimpa | Terapkan safe distance minimal dan batasi akses area lifting.
Peralatan angkat tidak dirawat | TINGGI | Risiko kegagalan alat | Lakukan maintenance rutin dan inspeksi berkala.
Penggunaan forklift tanpa pelatihan | TINGGI | Risiko kecelakaan | Operator wajib memiliki lisensi forklift.
Forklift membawa beban berlebih | TINGGI | Risiko terguling | Batasi beban sesuai kapasitas forklift.
Forklift berjalan dengan kecepatan tinggi | SEDANG | Risiko tabrakan | Tetapkan batas kecepatan dan pasang rambu.
Forklift digunakan di area tidak rata | TINGGI | Risiko kehilangan kendali | Hindari area tidak rata atau lakukan perataan permukaan.
Tidak ada jalur khusus forklift | SEDANG | Risiko tabrakan dengan pekerja | Buat jalur khusus forklift dan pisahkan dengan jalur pejalan kaki.
Operator forklift tidak fokus | SEDANG | Risiko kecelakaan | Larang distraksi seperti penggunaan HP saat mengemudi.
Beban forklift menghalangi pandangan | SEDANG | Risiko tabrakan | Gunakan reverse driving atau spotter.
Forklift tidak diperiksa sebelum digunakan | SEDANG | Potensi kerusakan tidak terdeteksi | Lakukan pre-use inspection setiap shift.
Penggunaan tangga listrik tanpa pengamanan | TINGGI | Risiko jatuh | Gunakan tangga dengan pengaman dan pengunci otomatis.
Tangga diletakkan pada permukaan tidak stabil | TINGGI | Risiko tergelincir | Pastikan tangga berada di permukaan rata dan kokoh.
Tangga digunakan dengan sudut salah | SEDANG | Risiko jatuh | Gunakan sudut aman (1:4) saat pemasangan tangga.
Pekerja berdiri di anak tangga paling atas | TINGGI | Risiko kehilangan keseimbangan | Larang berdiri di anak tangga paling atas.
Tangga rusak tetap digunakan | TINGGI | Risiko patah saat digunakan | Segera keluarkan tangga rusak dari penggunaan.
Pekerja tidak memegang pegangan tangga | SEDANG | Risiko jatuh | Terapkan aturan 3 titik kontak saat naik tangga.
Tangga tidak dikunci saat digunakan | TINGGI | Risiko bergerak tiba-tiba | Pastikan tangga terkunci sebelum digunakan.
Pekerja membawa beban saat naik tangga | SEDANG | Risiko kehilangan keseimbangan | Gunakan alat bantu seperti rope atau lift.
Tidak ada pelindung jatuh di ketinggian | TINGGI | Risiko jatuh fatal | Pasang guardrail atau fall protection system.
Pekerja bekerja di atap tanpa pengaman | TINGGI | Risiko jatuh | Gunakan lifeline dan harness.
Atap licin karena hujan | SEDANG | Risiko terpeleset | Gunakan sepatu anti-slip dan tunda pekerjaan jika perlu.
Pekerja tidak menggunakan lifeline | TINGGI | Risiko jatuh tanpa perlindungan | Gunakan lifeline yang terpasang pada anchor point.
Tidak ada pagar pengaman di tepi | TINGGI | Risiko jatuh | Pasang guardrail di tepi area kerja.
Perancah tidak stabil | TINGGI | Risiko roboh | Pastikan scaffolding dipasang sesuai standar dan diperiksa.
Perancah tidak diperiksa | SEDANG | Risiko kerusakan tidak terdeteksi | Lakukan inspeksi sebelum digunakan.
Pekerja memanjat struktur tanpa alat bantu | TINGGI | Risiko jatuh | Gunakan tangga atau akses yang aman.
Pekerja tidak menggunakan sepatu anti-slip di ketinggian | SEDANG | Risiko terpeleset | Gunakan sepatu dengan grip anti-slip.
Alat kerja jatuh dari ketinggian | TINGGI | Risiko mencederai pekerja di bawah | Gunakan tool lanyard dan pembatas area bawah.
Tidak ada area larangan di bawah pekerjaan tinggi | TINGGI | Risiko tertimpa benda jatuh | Pasang barricade dan signage area bahaya.
Tidak dilakukan identifikasi bahaya sebelum pekerjaan dimulai | TINGGI | Risiko tidak dikenali | Lakukan HIRARC sebelum pekerjaan dimulai.
Penilaian risiko tidak diperbarui saat kondisi berubah | TINGGI | Risiko tidak terkontrol | Lakukan review risk assessment saat terjadi perubahan kondisi kerja.
Tidak ada izin kerja (permit to work) untuk pekerjaan berisiko tinggi | TINGGI | Pekerjaan berbahaya dilakukan tanpa kontrol formal | Terapkan sistem permit to work wajib untuk pekerjaan berisiko tinggi dan tidak boleh memulai pekerjaan tanpa izin resmi.
Permit kerja tidak diverifikasi oleh supervisor | TINGGI | Validitas kontrol keselamatan tidak terjamin | Supervisor wajib memverifikasi dan menandatangani permit sebelum pekerjaan dimulai.
Checklist keselamatan tidak digunakan sebelum kerja | SEDANG | Potensi bahaya kecil dapat terlewat | Gunakan checklist pre-job sebelum pekerjaan dimulai.
Audit K3 tidak dilakukan secara berkala | SEDANG | Ketidaksesuaian tidak teridentifikasi | Jadwalkan audit K3 rutin (bulanan/triwulan).
Temuan audit tidak ditindaklanjuti | TINGGI | Risiko yang sama terus terjadi | Tetapkan action plan dengan deadline dan monitoring penyelesaian.
Dokumentasi K3 tidak lengkap | SEDANG | Sulit evaluasi risiko | Lengkapi dan digitalisasi dokumen K3 untuk kemudahan akses dan audit.
Pelaporan near miss tidak dilakukan | SEDANG | Peluang pencegahan hilang | Terapkan sistem pelaporan near miss dan beri insentif pelaporan.
Data kecelakaan tidak dianalisis | SEDANG | Akar masalah tidak ditemukan | Lakukan analisis root cause (RCA) pada setiap kejadian.
Tidak ada target keselamatan yang jelas | SEDANG | Pengendalian risiko tidak terukur | Tetapkan target keselamatan (zero accident, dll).
KPI keselamatan tidak dipantau | SEDANG | Kinerja tidak terkontrol | Pantau KPI K3 secara berkala dan laporkan ke manajemen.
Budaya keselamatan rendah di tempat kerja | TINGGI | Pekerja mengabaikan prosedur | Bangun safety culture melalui kampanye, pelatihan, dan kepemimpinan.
Pekerja enggan melaporkan bahaya | SEDANG | Risiko tersembunyi | Bangun budaya “no blame reporting”.
Supervisor tidak memberikan contoh perilaku aman | SEDANG | Pekerja meniru perilaku tidak aman | Terapkan safety leadership oleh supervisor.
Komunikasi keselamatan tidak efektif | SEDANG | Informasi tidak dipahami | Gunakan komunikasi visual, bahasa sederhana, dan briefing rutin.
Instruksi kerja tidak jelas | SEDANG | Pekerja salah melakukan tugas | Standarisasi SOP dengan bahasa jelas dan visual.
Bahasa komunikasi tidak dipahami semua pekerja | SEDANG | Instruksi tidak efektif | Gunakan bahasa lokal atau simbol visual.
Tidak ada toolbox meeting harian | SEDANG | Bahaya tidak dibahas | Lakukan toolbox meeting sebelum kerja.
Toolbox meeting tidak fokus | RENDAH | Informasi tidak tersampaikan | Gunakan agenda jelas dan singkat (5–10 menit).
Tidak ada sistem pelaporan bahaya | SEDANG | Risiko tidak teridentifikasi | Sediakan sistem pelaporan (manual/digital).
Pelaporan tidak ditindaklanjuti | SEDANG | Kepercayaan pekerja menurun | Tetapkan sistem follow-up dan feedback.
Tidak ada pelatihan ulang keselamatan | SEDANG | Pengetahuan tidak diperbarui | Lakukan refresher training secara berkala.
Materi pelatihan tidak relevan | RENDAH | Efektivitas rendah | Sesuaikan materi dengan kondisi kerja nyata.
Pekerja baru tidak mendapat induksi K3 | TINGGI | Risiko kecelakaan tinggi | Wajibkan safety induction sebelum mulai kerja.
Kontraktor tidak mengikuti standar K3 | TINGGI | Risiko ketidaksesuaian | Terapkan evaluasi dan audit K3 untuk kontraktor.
Tidak ada koordinasi antar tim kerja | SEDANG | Risiko konflik aktivitas | Lakukan koordinasi lintas tim sebelum pekerjaan.
Pekerjaan simultan tanpa pengaturan | TINGGI | Risiko tabrakan aktivitas | Gunakan SIMOPS control dan izin kerja terpisah.
Tidak ada management of change | TINGGI | Risiko baru tidak dikendalikan | Terapkan prosedur MOC untuk setiap perubahan.
Perubahan metode kerja tidak disosialisasikan | SEDANG | Pekerja tidak siap | Sosialisasikan perubahan melalui briefing.
Tidak ada rencana tanggap darurat | TINGGI | Respon lambat | Susun emergency response plan lengkap.
Simulasi darurat tidak dilakukan | SEDANG | Pekerja tidak siap | Lakukan drill minimal 1–2 kali per tahun.
Jalur evakuasi terhalang | TINGGI | Evakuasi terhambat | Pastikan jalur evakuasi selalu bebas hambatan.
Pintu darurat terkunci | TINGGI | Risiko terjebak | Pastikan pintu darurat tidak terkunci dan mudah dibuka.
Tidak ada titik kumpul | SEDANG | Evakuasi tidak terorganisir | Tetapkan assembly point yang jelas.
Alat pemadam tidak diperiksa | TINGGI | Tidak berfungsi saat darurat | Lakukan inspeksi APAR rutin.
Petugas darurat tidak ditunjuk | SEDANG | Tidak ada koordinasi | Tunjuk tim tanggap darurat.
Nomor darurat tidak tersedia | SEDANG | Penanganan lambat | Pasang nomor darurat di area kerja.
Tidak ada pelatihan P3K | SEDANG | Penanganan awal tidak optimal | Latih pekerja dalam pertolongan pertama.
Kotak P3K tidak lengkap | SEDANG | Tidak efektif menangani cedera | Lengkapi isi P3K sesuai standar.
Tidak ada pencatatan insiden | SEDANG | Evaluasi sulit | Catat semua insiden dan near miss.
Investigasi kecelakaan tidak dilakukan | TINGGI | Akar masalah tidak diketahui | Lakukan investigasi dan RCA.
Hasil investigasi tidak disosialisasikan | SEDANG | Pembelajaran tidak menyebar | Bagikan hasil ke seluruh pekerja.
Tidak ada tindakan pencegahan pasca insiden | TINGGI | Risiko berulang | Terapkan corrective & preventive action.
Pekerja bekerja di bawah tekanan waktu | SEDANG | Abaikan prosedur | Atur target realistis dan utamakan safety.
Budaya kejar target mengalahkan keselamatan | TINGGI | Risiko meningkat | Terapkan prinsip “safety first”.
Insentif tidak memperhitungkan keselamatan | SEDANG | Motivasi rendah | Integrasikan K3 dalam KPI dan bonus.
Tidak ada penghargaan perilaku aman | RENDAH | Motivasi rendah | Berikan reward untuk safe behavior.
Pengawasan tidak konsisten | SEDANG | Disiplin rendah | Standarisasi sistem pengawasan.
Supervisor tidak kompeten K3 | TINGGI | Keputusan tidak aman | Latih dan sertifikasi supervisor.
Tidak ada sistem disiplin | SEDANG | Pelanggaran berulang | Terapkan sanksi bertahap.
Pekerja terbiasa mengambil jalan pintas | TINGGI | Risiko tinggi | Bangun budaya disiplin dan awareness K3.
Penggunaan HP saat bekerja | SEDANG | Gangguan fokus | Terapkan larangan penggunaan HP di area kerja berisiko dan sediakan zona khusus penggunaan HP.
Distraksi di area kerja | SEDANG | Risiko kesalahan meningkat | Minimalkan distraksi dengan pengaturan area kerja dan pengawasan langsung.
Pekerja tidak memahami bahaya pekerjaannya | TINGGI | Risiko tidak disadari | Lakukan hazard awareness training sebelum pekerjaan dimulai.
Tidak ada penilaian kompetensi pekerja | SEDANG | Penugasan tidak sesuai kemampuan | Terapkan sistem assessment kompetensi sebelum penugasan.
Rotasi pekerja tanpa pelatihan | SEDANG | Risiko kesalahan kerja | Berikan pelatihan sebelum rotasi posisi kerja.
Kelelahan mental akibat pekerjaan monoton | SEDANG | Penurunan kewaspadaan | Terapkan rotasi kerja dan variasi tugas.
Jam kerja berlebihan tanpa kontrol | SEDANG | Risiko kelelahan kronis | Batasi jam kerja dan terapkan sistem shift yang sehat.
Tidak ada kebijakan istirahat | SEDANG | Kinerja menurun | Tetapkan waktu istirahat wajib dalam jadwal kerja.
Lingkungan kerja penuh tekanan | SEDANG | Risiko human error meningkat | Atur target kerja realistis dan dukung kesejahteraan pekerja.
Konflik antar pekerja | RENDAH | Mengganggu fokus kerja | Lakukan mediasi dan bangun komunikasi tim yang baik.
Kurangnya kepemimpinan keselamatan | TINGGI | Sistem K3 tidak berjalan efektif | Terapkan safety leadership dari manajemen hingga supervisor.
Manajemen tidak mendukung program K3 | TINGGI | Implementasi lemah | Integrasikan K3 ke dalam kebijakan perusahaan dan komitmen manajemen.
Anggaran keselamatan tidak mencukupi | TINGGI | Fasilitas keselamatan terbatas | Alokasikan anggaran khusus untuk program K3.
Prioritas keselamatan rendah dalam organisasi | TINGGI | Risiko sistemik tinggi | Terapkan prinsip “safety first” dalam semua kegiatan operasional.
Tidak ada evaluasi program K3 | SEDANG | Perbaikan tidak terarah | Lakukan evaluasi program K3 secara berkala.
Tidak ada benchmarking keselamatan | RENDAH | Kurang pembelajaran eksternal | Bandingkan kinerja K3 dengan standar industri.
Tidak ada standar internasional yang diacu | SEDANG | Sistem kurang optimal | Terapkan standar seperti ISO 45001.
Dokumen K3 tidak diperbarui | SEDANG | Tidak sesuai kondisi terbaru | Perbarui dokumen secara berkala sesuai kondisi lapangan.
Tidak ada kontrol dokumen | SEDANG | Versi tidak konsisten | Terapkan sistem document control.
Pekerja tidak mengetahui prosedur terbaru | SEDANG | Risiko kesalahan | Sosialisasikan perubahan prosedur secara rutin.
Tidak ada sosialisasi perubahan prosedur | SEDANG | Ketidaktahuan pekerja | Gunakan briefing dan media visual untuk sosialisasi.
